transaction_id,transaction_date,client_id,product_type,transaction_amount,branch_office,client_satisfaction,quantity_purchased,discount_rate,tax_rate
T1000,2023-01-01,C001,Stocks,12270.0,Miami,4.1,9,0.05,0.1
T1001,2023-01-02,C002,Mutual Fund,5860.0,San Francisco,3.3,4,0.01,0.08
T1002,2023-01-03,C003,Mutual Fund,10390.0,Miami,4.6,1,0.06,0.07
T1003,2023-01-04,C004,Mutual Fund,,San Francisco,3.1,2,0.11,0.07
T1004,2023-01-05,C005,Bonds,10191.0,,5.0,1,0.07,0.05
T1005,2023-01-06,C006,Bonds,16964.0,Chicago,4.5,5,0.17,0.05
T1006,2023-01-07,C007,Bonds,16284.0,New York,3.4,5,0.05,0.08
T1007,2023-01-08,C008,Mutual Fund,10734.0,Dallas,3.0,7,0.19,0.08
T1008,2023-01-09,C009,Stocks,11265.0,Dallas,4.6,9,0.09,0.06
T1009,2023-01-10,C010,Mutual Fund,5466.0,Dallas,4.4,9,0.17,0.1
T1010,2023-01-11,C011,Mutual Fund,18526.0,Chicago,4.5,3,0.04,0.09
T1011,2023-01-12,C012,Stocks,9426.0,New York,4.5,3,0.08,0.06
T1012,2023-01-13,C013,Mutual Fund,10578.0,Dallas,3.1,3,0.14,0.1
T1013,2023-01-14,C014,Mutual Fund,19423.0,Dallas,3.7,4,0.03,0.1
T1014,2023-01-15,C015,Stocks,16636.0,New York,3.2,8,0.03,0.1
T1015,2023-01-16,C016,Stocks,16363.0,San Francisco,4.7,6,0.19,0.05
T1016,2023-01-17,C017,Mutual Fund,16111.0,New York,4.2,8,0.14,0.09
T1017,2023-01-18,C018,Stocks,13322.0,Miami,3.7,1,0.01,0.08
T1018,2023-01-19,C019,Bonds,6685.0,Miami,3.1,8,0.08,0.09
T1019,2023-01-20,C020,Mutual Fund,5769.0,New York,3.6,4,0.09,0.1
T1020,2023-01-21,C021,Bonds,15583.0,San Francisco,3.7,1,0.15,0.08
T1021,2023-01-22,C022,Bonds,18803.0,San Francisco,4.5,8,0.05,0.09
T1022,2023-01-23,C023,Stocks,11949.0,Chicago,4.3,4,0.04,0.09
T1023,2023-01-24,C024,Mutual Fund,7433.0,Dallas,4.8,6,0.02,0.09
T1024,2023-01-25,C025,Bonds,10311.0,San Francisco,3.9,8,0.09,0.07
T1025,2023-01-26,C026,Stocks,10051.0,Chicago,3.2,4,0.14,0.06
T1026,2023-01-27,C027,Mutual Fund,11420.0,San Francisco,4.4,3,0.01,0.07
T1027,2023-01-28,C028,Mutual Fund,6184.0,Miami,4.5,9,0.18,0.09
T1028,2023-01-29,C029,Bonds,9555.0,Chicago,4.1,3,0.09,0.06
T1029,2023-01-30,C030,Stocks,8385.0,Chicago,4.5,9,0.05,0.08
T1030,2023-01-31,C031,Bonds,17309.0,Dallas,4.0,2,0.02,0.06
T1031,2023-02-01,C032,Bonds,11396.0,Miami,4.0,2,0.04,0.08
T1032,2023-02-02,C033,Stocks,18035.0,San Francisco,3.9,2,0.19,0.09
T1033,2023-02-03,C034,Bonds,16096.0,San Francisco,3.1,6,0.13,0.09
