company_name,channel,submission_time,attachments,previous_interactions,day_of_week,subscription_tier,contract_value,account_age_months,open_tickets,account_manager,subscribed_modules,avg_resolution_customer,avg_resolution_tier,issue_type,product_area,linked_ticket_count,is_vip,self_declared_p1,is_urgent,resolution_time,hour,is_business_hours,avg_resolution_by_hour,avg_resolution_by_day,peak_hour,customer_priority_score,customer_open_ticket_ratio,customer_segment,customer_importance,urgency_resolve_ratio,experience_adjusted_priority,submission_hour,is_peak_hour,routing_score
InsightlySoft,web_form,2025-06-18 20:01:37,2,3,2,Enterprise,211.17,21,2,AM_11,"Billing,Analytics",60.01541411,25.46861064,Performance,Security,0,0,0,1,73.8,20,0,52.49414634146341,54.19294294294294,0,1.007922427218304,2.0,Low,0.007922427218304006,0.013368983957219251,0.031689708873216024,20,0,0.04258282235104652
GlobalFinance Corp,web_form,2025-06-20 13:01:37,0,3,4,Basic,2827.28,20,1,AM_5,"Security,Integration",40.01453224,42.33015367,Feature Request,Collaboration,0,0,0,0,32.6,13,1,55.283884297520665,53.43489425981873,1,0.10607055938706518,1.0,Low,0.10607055938706518,0.0,0.4242822375482607,13,1,0.5121411187741304
InsightlySoft,web_form,2025-07-12 08:01:37,1,0,5,Basic,5845.15,38,0,AM_16,"Collaboration,Analytics",55.61783127,29.89277461,Bug,Collaboration,0,0,0,0,52.6,8,1,53.45117370892019,54.57093791281373,0,0.21929144980380577,0.0,Low,0.21929144980380577,0.0,0.21929144980380577,8,0,0.10964572490190289
InsightlySoft,web_form,2025-07-10 08:01:37,0,1,3,Enterprise,4975.12,13,1,AM_13,Analytics,38.94546944,45.31805976,How-To,Analytics,0,1,0,1,49.9,8,1,53.45117370892019,54.38695014662757,0,3.1866506895029056,1.0,Medium,2.1866506895029056,0.019646365422396856,4.373301379005811,8,0,2.2259434203476993
InsightlySoft,web_form,2025-07-01 00:01:37,1,5,1,Pro,5815.52,29,2,AM_9,"Analytics,Collaboration,Billing",54.51216059,47.79402986,Bug,Integration,1,0,0,0,48.0,0,0,53.43349056603773,54.71074626865671,0,0.218179826379653,1.0,Low,0.218179826379653,0.0,1.3090789582779179,0,0,0.6545394791389589
GlobalFinance Corp,email,2025-06-16 07:01:37,1,4,0,Basic,575.66,21,2,AM_18,Collaboration,35.33699106,32.89232739,Performance,Integration,0,0,0,0,32.2,7,0,55.015846994535515,54.49318181818182,1,0.021596933525069303,2.0,Low,0.021596933525069303,0.0,0.10798466762534652,7,0,0.05399233381267326
InsightlySoft,web_form,2025-06-28 19:01:37,0,2,5,Basic,3150.19,42,0,AM_2,Security,61.8157208,29.80364583,Other,Analytics,0,0,1,1,78.6,19,0,54.95531914893617,54.57093791281373,1,1.1181851162514993,0.0,Low,1.1181851162514993,0.01256281407035176,3.3545553487544977,19,0,1.7024033025179524
InsightlySoft,web_form,2025-07-08 00:01:37,0,1,1,Basic,9421.72,33,0,AM_9,"Integration,Billing",45.26491059,24.16203793,Performance,Analytics,0,0,0,1,58.7,0,0,53.43349056603773,54.71074626865671,0,1.353472988451197,0.0,Low,0.3534729884511968,0.01675041876046901,0.7069459769023936,0,0,0.3869738259721348
InsightlySoft,email,2025-07-02 20:01:37,1,1,2,Enterprise,4587.05,32,0,AM_13,"Collaboration,Security,Analytics",50.15624257,20.7524417,Feature Request,Analytics,0,0,0,1,71.8,20,0,52.49414634146341,54.19294294294294,0,1.1720915365426974,0.0,Low,0.17209153654269735,0.013736263736263736,0.3441830730853947,20,0,0.1995640640152248
GlobalFinance Corp,email,2025-07-11 19:01:37,3,3,4,Enterprise,10.19,48,1,AM_14,Security,49.14015686,23.99709448,Other,Integration,0,1,0,1,69.8,19,0,54.95531914893617,53.43489425981873,1,3.0003822964121536,1.0,Medium,2.0003822964121536,0.014124293785310734,8.001529185648614,19,0,4.029013180394928
InsightlySoft,email,2025-06-25 20:01:37,1,3,2,Basic,6419.02,46,0,AM_15,"Collaboration,Billing,Analytics",61.58901356,31.67193762,Bug,Collaboration,0,0,1,1,78.3,20,0,52.49414634146341,54.19294294294294,0,1.2408212282182023,0.0,Low,1.2408212282182023,0.012610340479192938,4.963284912872809,20,0,2.5068631373947903
InsightlySoft,email,2025-06-21 03:01:37,2,3,5,Basic,3670.28,28,3,AM_5,Collaboration,41.4079844,16.7819729,Other,Collaboration,1,0,0,0,47.5,3,0,54.14031413612565,54.57093791281373,0,0.137697239999985,1.5,Low,0.137697239999985,0.0,0.55078895999994,3,0,0.27539447999997
InsightlySoft,email,2025-06-28 05:01:37,1,5,5,Basic,390.54,50,0,AM_13,Integration,47.45523301,41.90118507,How-To,Security,0,0,0,0,64.1,5,0,54.353539823008845,54.57093791281373,1,0.014651819509572606,0.0,Low,0.014651819509572606,0.0,0.08791091705743564,5,0,0.04395545852871782
InsightlySoft,email,2025-06-23 07:01:37,0,4,0,Pro,1129.86,14,1,AM_3,"Billing,Analytics",49.5603211,39.80611845,Bug,Collaboration,0,0,0,0,50.3,7,0,55.015846994535515,54.49318181818182,1,0.04238875605849773,1.0,Low,0.04238875605849773,0.0,0.21194378029248864,7,0,0.10597189014624432
GlobalFinance Corp,web_form,2025-07-13 16:01:37,0,3,6,Basic,375.04,57,2,AM_12,"Collaboration,Billing",57.7424584,39.82616253,Other,Analytics,0,0,0,0,66.6,16,1,54.52608695652174,54.45521472392638,1,0.014070308774696855,2.0,Low,0.014070308774696855,0.0,0.05628123509878742,16,1,0.3281406175493937
InsightlySoft,web_form,2025-07-01 17:01:37,1,0,1,Basic,3925.9,42,1,AM_7,"Billing,Collaboration",40.39595266,45.37282572,Performance,Security,0,0,1,1,57.6,17,1,55.64358974358974,54.71074626865671,1,1.1472872899386262,1.0,Low,1.1472872899386262,0.017064846416382253,1.1472872899386262,17,1,0.9077733378020776
GlobalFinance Corp,chat,2025-07-09 12:01:37,0,7,2,Pro,10.59,52,2,AM_8,"Billing,Integration,Collaboration",26.64779121,26.67482551,Other,Billing,0,0,0,0,17.1,12,1,54.15106382978723,54.19294294294294,0,0.0003973031407957543,2.0,Low,0.0003973031407957543,0.0,0.0031784251263660343,12,1,0.301589212563183
GlobalFinance Corp,web_form,2025-06-27 18:01:37,1,3,4,Enterprise,1873.79,22,3,AM_10,Billing,36.52236167,27.14240983,Feature Request,Integration,0,0,0,1,48.1,18,1,53.46582914572865,53.43489425981873,0,1.0702986451550214,3.0,Low,0.07029864515502138,0.020366598778004074,0.2811945806200855,18,0,0.1813304878660509
GlobalFinance Corp,web_form,2025-06-21 05:01:37,1,4,5,Pro,25689.29,37,2,AM_4,"Integration,Collaboration",55.2429297,45.03388649,Bug,Security,0,0,0,1,63.1,5,0,54.353539823008845,54.57093791281373,1,1.96378051008621,2.0,Low,0.96378051008621,0.015600624024960999,4.81890255043105,5,0,2.440652523265447
InsightlySoft,email,2025-07-06 12:01:37,0,4,6,Enterprise,5714.06,34,2,AM_4,"Security,Integration,Analytics",48.75854171,31.47305136,Other,Billing,0,0,0,1,57.6,12,1,54.15106382978723,54.45521472392638,0,1.214373369659621,2.0,Low,0.21437336965962114,0.017064846416382253,1.0718668482981057,12,1,0.8700631169818174
GlobalFinance Corp,email,2025-07-06 22:01:37,1,4,6,Enterprise,2654.53,17,0,AM_17,"Integration,Billing,Security",47.30236393,39.14157682,Bug,Analytics,0,0,0,1,54.1,22,0,54.11608040201005,54.45521472392638,0,1.099589528454821,0.0,Low,0.09958952845482094,0.018148820326678767,0.4979476422741047,22,0,0.2852714617904099
InsightlySoft,web_form,2025-06-15 16:01:37,1,1,6,Pro,3551.86,33,2,AM_15,Analytics,39.53931414,18.77425359,Performance,Collaboration,0,0,1,1,52.4,16,1,54.52608695652174,54.45521472392638,1,1.1332544979855343,2.0,Low,1.1332544979855343,0.018726591760299626,2.2665089959710687,16,1,1.4707076815061337
GlobalFinance Corp,chat,2025-06-14 22:01:37,1,4,5,Basic,2776.29,33,0,AM_18,"Security,Billing",48.69539838,44.57247664,Feature Request,Collaboration,0,0,0,0,41.9,22,0,54.11608040201005,54.57093791281373,0,0.10415757665343199,0.0,Low,0.10415757665343199,0.0,0.52078788326716,22,0,0.26039394163358
GlobalFinance Corp,email,2025-06-24 14:01:37,2,3,1,Pro,4995.58,38,0,AM_8,"Security,Collaboration",53.09124704,38.82800847,Bug,Security,0,0,0,0,58.1,14,1,53.275252525252526,54.71074626865671,0,0.18741828367294186,0.0,Low,0.18741828367294186,0.0,0.7496731346917674,14,1,0.6748365673458837
GlobalFinance Corp,web_form,2025-06-26 00:01:37,1,4,3,Basic,6514.27,26,0,AM_10,"Security,Analytics",46.81649757,23.97304904,Feature Request,Billing,0,1,0,1,54.2,0,0,53.43349056603773,54.38695014662757,0,3.244394705476068,0.0,Medium,2.244394705476068,0.018115942028985508,11.22197352738034,0,0,5.647218647748141
GlobalFinance Corp,web_form,2025-06-22 23:01:37,1,2,6,Basic,4364.91,39,2,AM_10,"Billing,Analytics",60.96749692,47.73999776,Performance,Collaboration,0,1,0,1,75.2,23,0,54.82280701754386,54.45521472392638,1,3.163757549791388,2.0,Medium,2.163757549791388,0.013123359580052493,6.491272649374164,23,0,3.2718830438471866
GlobalFinance Corp,chat,2025-06-30 00:01:37,1,5,0,Pro,602.54,7,1,AM_13,"Analytics,Integration,Billing",56.44041413,37.23344078,Bug,Analytics,0,0,0,0,64.6,0,0,53.43349056603773,54.49318181818182,0,0.022605385689808667,1.0,Low,0.022605385689808667,0.0,0.13563231413885202,0,0,0.06781615706942601
GlobalFinance Corp,chat,2025-06-17 08:01:37,2,3,1,Enterprise,1398.14,25,3,AM_9,"Security,Collaboration",46.68028048,51.46147205,Performance,Billing,0,1,0,1,45.0,8,1,53.45117370892019,54.71074626865671,0,3.052453768958657,3.0,Medium,2.052453768958657,0.021739130434782608,8.209815075834628,8,0,4.1483857987868795
GlobalFinance Corp,email,2025-06-19 21:01:37,2,1,3,Basic,4603.11,48,1,AM_8,"Billing,Security",54.90475236,19.50064171,Performance,Billing,0,0,1,1,68.0,21,0,55.03842592592592,54.38695014662757,1,1.1726940566976718,1.0,Low,1.1726940566976718,0.014492753623188406,2.3453881133953436,21,0,1.2016795639440485
GlobalFinance Corp,chat,2025-07-10 14:01:37,0,4,3,Pro,5197.83,51,0,AM_4,"Integration,Collaboration,Billing",48.68890237,38.84274098,Feature Request,Collaboration,0,0,0,0,47.7,14,1,53.275252525252526,54.38695014662757,0,0.19500606084253028,0.0,Low,0.19500606084253028,0.0,0.9750303042126514,14,1,0.7875151521063257
InsightlySoft,web_form,2025-06-19 02:01:37,1,6,3,Basic,2973.06,30,0,AM_10,Security,51.07216588,31.13544982,Performance,Security,0,0,0,0,43.3,2,0,54.24957264957265,54.38695014662757,0,0.11153976164062562,0.0,Low,0.11153976164062562,0.0,0.7807783314843794,2,0,0.3903891657421897
InsightlySoft,web_form,2025-06-21 12:01:37,2,1,5,Basic,3756.81,41,0,AM_8,Analytics,45.68541773,33.5987434,Performance,Security,1,0,0,0,43.0,12,1,54.15106382978723,54.57093791281373,0,0.14094357057345588,0.0,Low,0.14094357057345588,0.0,0.28188714114691177,12,1,0.4409435705734559
GlobalFinance Corp,chat,2025-06-21 14:01:37,1,3,5,Pro,575.29,33,0,AM_12,"Integration,Collaboration,Security",49.7902671,37.18844842,Other,Security,1,0,1,1,79.7,14,1,53.275252525252526,54.57093791281373,0,1.0215830523010756,0.0,Low,1.0215830523010756,0.012391573729863692,4.086332209204302,14,1,2.3679492520618783
GlobalFinance Corp,chat,2025-07-03 04:01:37,0,2,3,Pro,1398.83,50,2,AM_18,"Integration,Collaboration,Billing",33.12465138,21.58895824,Bug,Collaboration,0,0,0,0,30.2,4,0,54.54949494949494,54.38695014662757,1,0.05247965556556421,2.0,Low,0.05247965556556421,0.0,0.1574389666966926,4,0,0.0787194833483463
