id,timestamp,location,likes,retweets,sentiment_score,sentiment_label,post_text,device_type,hashtags,user_followers
1,2025-04-25 10:01:36,"New York, USA",102,179,0.9,Positive,Proud of myself for stepping out of my comfort zone today.,Tablet ,#CoffeeBreak,3757.0
2,2025-04-25 10:32:24,"London, UK",106,71,0.2,Neutral,Couldn't resist buying new plants today. ,,#Rain,9774.0
3,2025-04-25 15:40:51,"New York, USA",102,121,-0.69,Negative,Coffee is life. Don't talk to me before my second cup. ,Desktop,#CoffeeBreak,3911.0
4,2025-04-25 17:11:58,"New York, USA",330,87,-0.33,Negative,Sunsets are proof that endings can be beautiful too. ,mobile,,9028.0
5,2025-04-25 15:38:13,"São Paulo, Brazil",359,151,0.3,Neutral,Late night thoughts: How amazing is the universe?,Tablet ,#MorningVibes,2715.0
6,2025-04-25 15:41:36,"Paris, France",308,1,0.44,Positive,Just got my promotion!!  Hard work pays off.,Tablet,#CoffeeBreak,5614.0
7,2025-04-25 09:51:38,"London, UK",413,37,-1.0,Negative,Concert tonight! So pumped to see my favorite band live!,Desktop,#Traffic,5735.0
8,2025-04-25 12:48:55,"New York, USA",443,20,0.23,Neutral,"Life’s short, eat the cake. ",Des ktop,,2145.0
9,2025-04-25 14:53:27,"London, UK",313,21,-0.99,Negative,Sunsets are proof that endings can be beautiful too. ,Tablet ,,6025.0
10,2025-04-25 11:30:01,"London, UK",344,48,0.05,Neutral,Stuck in traffic again... seriously?! ,mobile,#Fitness,1407.0
11,2025-04-25 12:14:16,"London, UK",169,187,-0.27,Neutral,Concert tonight! So pumped to see my favorite band live!,Tablet ,#TuesdayFeeling,6077.0
12,2025-04-25 10:57:39,"Paris, France",189,189,0.57,Positive,Yoga in the park this morning was so refreshing. ,mobile,,4474.0
13,2025-04-25 09:17:59,"Tokyo, Japan",50,107,0.03,Neutral,Why does my cat wake me up at 5am every day? ,mobile,#Foodie,7673.0
14,2025-04-25 14:54:27,"Sydney, Australia",319,130,0.72,Positive,Just finished my first marathon! ,,#CoffeeBreak,5413.0
15,2025-04-25 09:01:05,"São Paulo, Brazil",134,20,-0.1,Neutral,Stuck in traffic again... seriously?! ,MOBILE,#WorkLife,4486.0
16,2025-04-25 09:12:17,"São Paulo, Brazil",273,131,0.88,Positive,Overthinking everything... need to chill. ,MOBILE,#CoffeeBreak,8279.0
17,2025-04-25 15:12:08,"Berlin, Germany",13,8,-0.97,Negative,"Some days are tough, but we keep moving forward. ",Tablet ,#Foodie,4140.0
18,2025-04-25 17:48:42,"Sydney, Australia",385,83,-0.52,Negative,Proud of myself for stepping out of my comfort zone today.,Desktop,,6643.0
19,2025-04-25 14:35:23,"São Paulo, Brazil",443,198,0.22,Neutral,Reading an amazing book right now. Totally recommend!,,#TuesdayFeeling,1589.0
20,2025-04-25 08:51:27,"London, UK",263,174,-0.65,Negative,"Some days are tough, but we keep moving forward. ",Tablet,,7016.0
21,2025-04-25 09:09:23,"Toronto, Canada",80,163,-0.64,Negative,Concert tonight! So pumped to see my favorite band live!,Des ktop,,4219.0
22,2025-04-25 08:12:32,"London, UK",387,1,-0.15,Neutral,Couldn't resist buying new plants today. ,,#Fitness,5673.0
23,2025-04-25 10:01:50,"Sydney, Australia",53,105,0.14,Neutral,Sending positive vibes to everyone today. ,Tablet,#TuesdayFeeling,153.0
24,2025-04-25 12:47:41,,476,190,0.68,Positive,This weather makes me so happy! ,Tablet,,1843.0
25,2025-04-25 13:25:58,,43,161,-0.21,Neutral,When did it get so cold?!  Time for sweaters!,mobile,#Foodie,6226.0
26,2025-04-25 10:56:27,,483,13,0.45,Positive,Feeling super productive today! Crushing my to-do list.,Mobile,,5410.0
27,2025-04-25 16:53:41,"New York, USA",270,199,0.14,Neutral,Is it Friday yet? Need the weekend desperately. ,MOBILE,#Fitness,4023.0
28,2025-04-25 09:03:16,"São Paulo, Brazil",251,189,-0.35,Negative,Overthinking everything... need to chill. ,Desktop,#Rain,8062.0
29,2025-04-25 09:15:35,,207,81,0.08,Neutral,Reading an amazing book right now. Totally recommend!,Tablet,,7887.0
30,2025-04-25 11:00:21,"Sydney, Australia",279,153,0.93,Positive,Feeling super productive today! Crushing my to-do list.,Desktop,#CoffeeBreak,8935.0
31,2025-04-25 11:39:42,"Sydney, Australia",187,123,-0.45,Negative,When life gives you lemons... make margaritas. ,MOBILE,#TuesdayFeeling,8579.0
32,2025-04-25 16:13:08,"London, UK",156,14,-0.67,Negative,Any Netflix recommendations for tonight? ,mobile,#Rain,5639.0
33,2025-04-25 08:22:58,,344,70,-0.15,Neutral,Feeling grateful for the little things today. ,mobile,#MorningVibes,1263.0
34,2025-04-25 09:04:18,"São Paulo, Brazil",128,135,-0.99,Negative,Rainy days make me want to stay in bed all day. ,Mobile,#Traffic,1260.0
35,2025-04-25 17:21:35,"São Paulo, Brazil",138,80,0.42,Positive,Just got my promotion!!  Hard work pays off.,Des ktop,#CoffeeBreak,8934.0
36,2025-04-25 10:24:31,"Berlin, Germany",418,32,0.21,Neutral,Any Netflix recommendations for tonight? ,Des ktop,#WorkLife,3219.0
37,2025-04-25 09:43:01,"London, UK",489,40,0.83,Positive,"Sometimes you win, sometimes you learn. ",Desktop,#Traffic,7039.0
38,2025-04-25 15:29:01,"Berlin, Germany",200,71,-0.1,Neutral,"Life’s short, eat the cake. ",Mobile,,1712.0
39,2025-04-25 09:06:12,"Toronto, Canada",32,47,-0.26,Neutral,"Life’s short, eat the cake. ",MOBILE,#Rain,4173.0
40,2025-04-25 11:29:16,"São Paulo, Brazil",61,36,0.46,Positive,Why does my cat wake me up at 5am every day? ,Des ktop,#Foodie,7012.0
41,2025-04-25 11:20:25,"Sydney, Australia",359,34,-0.06,Neutral,Catching up with old friends always feels like no time passed.,mobile,#Rain,7360.0
42,2025-04-25 09:46:56,"New York, USA",100,174,0.43,Positive,Brainstorming ideas for my next big project!,,#MorningVibes,1628.0
43,2025-04-25 12:18:11,"Tokyo, Japan",256,4,0.12,Neutral,Learning a new language is so challenging yet rewarding!,Des ktop,#TuesdayFeeling,3602.0
44,2025-04-25 15:18:02,"New York, USA",254,141,-0.01,Neutral,Late night coding sessions are both a curse and a blessing. ,Desktop,#MorningVibes,6496.0
