report_id,timestamp,neighborhood,issue_type,time_to_resolution,required_escalation,num_previous_reports,severity_score,is_weekend,weather_rain,response_team_rating,reporter_experience,issue_complexity,hour_of_day
RPT-1000,2024-06-16 16:38:04.212432,Downtown,noise,9.0,1,2,5.8,1,1,3.7,5.02,634,16
RPT-1001,2024-12-23 12:28:24.525728,Riverside,noise,3.4,0,9,1.0,0,0,5.0,4.63,3,12
RPT-1002,2024-06-22 09:35:39.082066,Downtown,pothole,46.7,0,2,4.9,1,0,4.3,0.15,364,9
RPT-1003,2024-06-24 19:53:46.697893,Downtown,pothole,72.3,1,1,7.1,0,0,3.3,1.8,860,19
RPT-1004,2024-12-20 12:51:00.452328,Old Town,noise,5.0,0,0,2.4,0,0,4.0,3.78,128,12
RPT-1005,2023-10-18 19:29:48.912307,Downtown,pothole,51.3,0,11,7.1,0,0,4.3,2.77,552,19
RPT-1006,2023-06-12 13:44:11.251306,Riverside,vandalism,31.6,1,2,8.9,0,1,2.6,3.27,941,13
RPT-1007,2024-01-14 05:28:36.821151,Uptown,pothole,50.7,0,2,4.7,1,0,4.0,3.66,424,5
RPT-1008,2024-11-30 13:56:56.428391,Old Town,noise,3.6,0,1,3.7,1,0,4.9,5.71,292,13
RPT-1009,2023-07-21 01:00:36.835591,Downtown,pothole,51.0,0,0,8.5,0,1,4.8,5.99,696,1
RPT-1010,2024-10-08 04:38:55.023984,Riverside,noise,15.1,0,1,2.6,0,1,3.1,5.08,253,4
RPT-1011,2023-01-21 22:41:37.462236,Old Town,lighting,18.1,1,1,5.8,1,0,4.1,2.58,642,22
RPT-1012,2024-05-26 20:07:37.106467,Tech District,lighting,13.5,0,2,6.7,1,1,4.3,4.94,500,20
RPT-1013,2023-09-22 20:40:34.441202,Riverside,lighting,11.0,0,1,5.4,0,0,4.4,3.01,420,20
RPT-1014,2024-09-22 13:21:00.452006,Uptown,vandalism,31.8,1,5,9.4,1,0,3.9,2.67,962,13
RPT-1015,2024-02-20 13:54:11.974698,Uptown,pothole,41.9,0,4,3.1,0,0,4.2,3.12,371,13
RPT-1016,2023-10-06 04:56:08.824199,Tech District,lighting,11.4,0,1,5.5,0,1,5.0,4.5,479,4
RPT-1017,2023-06-25 08:38:49.651626,Riverside,pothole,45.3,0,3,4.5,1,0,3.7,3.2,334,8
RPT-1018,2024-03-25 17:52:14.143839,Old Town,vandalism,19.3,0,1,8.1,0,0,3.5,6.1,608,17
RPT-1019,2023-03-05 23:54:40.043424,Old Town,vandalism,35.0,1,4,10.0,1,0,5.0,2.35,989,23
RPT-1020,2024-08-11 12:13:40.392649,Riverside,vandalism,19.7,0,5,9.8,1,0,4.4,4.69,792,12
RPT-1021,2023-01-14 19:35:40.546452,Downtown,vandalism,20.3,0,2,6.5,1,1,4.8,5.32,478,19
RPT-1022,2024-11-30 00:30:12.686796,Riverside,vandalism,38.9,1,2,10.0,1,0,2.4,1.46,1000,0
RPT-1023,2024-09-06 19:33:34.023693,Riverside,pothole,71.3,1,4,8.9,0,0,2.8,0.86,936,19
RPT-1024,2023-07-21 07:04:43.967932,Riverside,lighting,11.3,0,0,6.1,0,0,4.1,4.48,465,7
RPT-1025,2024-08-25 11:37:22.152798,Old Town,lighting,14.3,0,2,5.3,1,0,3.2,3.35,443,11
RPT-1026,2023-12-26 20:12:37.697219,Downtown,noise,4.8,1,2,6.2,0,1,4.3,3.1,739,20
RPT-1027,2024-08-09 20:51:14.736146,Uptown,noise,8.2,0,2,4.8,0,0,4.6,4.03,576,20
RPT-1028,2024-02-22 22:01:58.628202,Old Town,noise,6.7,0,4,5.7,0,0,4.3,1.29,454,22
RPT-1029,2023-11-05 18:07:41.709667,Riverside,pothole,70.4,1,2,8.3,1,1,4.4,3.13,810,18
RPT-1030,2024-06-01 01:55:19.173776,Tech District,lighting,9.9,0,16,6.0,1,0,4.2,1.7,587,1
RPT-1031,2023-12-01 16:28:34.558906,Downtown,noise,6.9,0,3,3.0,0,1,4.9,1.41,234,16
RPT-1032,2024-03-26 10:49:30.928848,Tech District,noise,6.5,0,1,5.3,0,0,3.8,1.69,512,10
RPT-1033,2024-05-29 09:09:56.197960,Tech District,vandalism,25.2,0,16,10.0,0,0,5.0,0.0,775,9
RPT-1034,2023-12-31 09:37:21.492861,Downtown,vandalism,27.8,0,0,6.9,1,0,4.0,6.74,551,9
RPT-1035,2023-10-08 04:11:22.990589,Tech District,vandalism,33.2,1,1,7.0,1,1,2.5,6.09,826,4
RPT-1036,2024-09-29 22:10:36.205759,Tech District,noise,4.6,0,4,3.3,1,0,4.4,1.8,267,22
RPT-1037,2024-08-28 23:24:51.915154,Tech District,noise,3.8,0,3,7.2,0,0,2.6,2.7,605,23
RPT-1038,2023-02-02 17:52:02.326286,Old Town,noise,5.8,0,0,3.1,0,0,4.9,2.07,216,17
RPT-1039,2023-06-25 21:26:36.830783,Downtown,vandalism,34.9,1,11,10.0,1,0,2.9,0.0,938,21
RPT-1040,2024-06-07 02:17:22.745987,Uptown,lighting,10.0,0,5,6.7,0,0,4.2,4.86,509,2
RPT-1041,2023-06-02 07:06:01.968364,Riverside,noise,7.8,0,2,4.5,0,0,4.1,3.19,389,7
RPT-1042,2023-10-07 00:21:34.832102,Uptown,pothole,45.5,0,1,10.0,1,1,5.0,4.58,831,0
RPT-1043,2023-12-01 13:21:35.367055,Old Town,vandalism,25.9,0,0,7.0,0,0,4.2,0.0,648,13
RPT-1044,2023-06-26 20:37:24.947460,Downtown,noise,6.6,1,0,7.2,0,0,3.8,1.87,734,20
RPT-1045,2024-05-26 12:23:32.471021,Downtown,vandalism,36.7,1,0,9.4,1,0,3.7,4.12,995,12
RPT-1046,2023-08-17 00:27:32.107001,Old Town,pothole,51.5,0,4,5.3,0,0,4.4,5.95,466,0
RPT-1047,2023-12-13 08:21:03.185274,Downtown,vandalism,35.5,1,0,9.5,0,0,3.5,1.64,957,8
RPT-1048,2023-08-16 19:49:25.365616,Uptown,noise,8.8,0,3,5.2,0,0,3.9,3.92,419,19
RPT-1049,2024-09-24 17:00:27.082019,Old Town,lighting,15.0,0,12,5.7,0,0,4.2,7.55,476,17
RPT-1050,2024-01-13 11:51:51.120509,Downtown,noise,3.7,0,3,6.8,1,1,4.1,4.95,471,11
RPT-1051,2023-09-19 12:32:55.074843,Tech District,pothole,74.4,1,1,9.5,0,0,2.1,0.0,978,12
RPT-1052,2023-12-22 14:18:27.272287,Uptown,lighting,13.7,0,2,6.5,0,0,3.1,6.66,578,14
RPT-1053,2024-03-03 09:38:37.724011,Downtown,lighting,10.6,0,2,5.5,1,1,4.1,3.55,453,9
RPT-1054,2024-08-01 14:29:26.565568,Uptown,pothole,40.6,0,1,4.6,0,0,4.4,3.6,443,14
RPT-1055,2024-04-29 00:11:04.901382,Uptown,vandalism,24.9,0,3,5.9,0,1,4.6,5.12,549,0
RPT-1056,2023-03-22 10:43:44.118817,Old Town,pothole,45.5,0,4,6.5,0,1,5.0,6.51,507,10
RPT-1057,2023-03-10 17:41:09.056519,Downtown,lighting,20.9,1,0,9.2,0,0,4.2,2.13,918,17
RPT-1058,2023-05-26 05:51:17.986059,Tech District,lighting,6.8,0,3,7.2,0,0,3.8,5.67,625,5
RPT-1059,2023-06-29 01:21:33.421360,Tech District,lighting,13.0,0,2,2.4,0,0,4.2,3.77,190,1
RPT-1060,2024-06-24 23:13:23.591256,Riverside,lighting,11.8,1,2,6.9,0,0,2.6,3.98,789,23
RPT-1061,2024-05-20 12:16:26.864660,Old Town,noise,4.1,0,2,3.2,0,0,3.6,2.79,204,12
RPT-1062,2023-09-12 21:01:30.085066,Riverside,vandalism,34.3,1,2,8.2,0,1,3.9,5.41,898,21
RPT-1063,2024-12-03 04:15:01.432606,Tech District,noise,3.1,0,2,3.6,0,0,2.4,0.0,356,4
RPT-1064,2023-10-19 12:22:15.307711,Uptown,lighting,22.9,1,0,6.6,0,0,4.2,1.02,729,12
RPT-1065,2023-05-11 04:11:38.256505,Downtown,pothole,50.9,0,1,8.3,0,0,2.2,1.38,618,4
RPT-1066,2023-04-24 00:27:33.192000,Riverside,noise,4.4,0,1,3.9,0,0,3.6,2.3,322,0
RPT-1067,2023-08-06 11:47:29.470330,Riverside,pothole,50.7,0,3,9.6,1,0,5.0,2.12,847,11
RPT-1068,2023-07-01 07:53:43.310766,Riverside,pothole,46.8,0,2,5.0,1,0,3.1,4.13,367,7
RPT-1069,2024-08-08 14:16:44.202506,Uptown,pothole,46.5,0,1,6.1,0,0,3.5,3.54,485,14
RPT-1070,2023-07-21 18:20:09.229354,Uptown,pothole,71.3,1,16,6.6,0,0,3.9,3.42,830,18
RPT-1071,2024-01-12 00:40:03.800262,Downtown,lighting,16.9,0,2,3.9,0,0,2.8,0.0,314,0
RPT-1072,2023-08-23 12:55:00.162908,Tech District,lighting,18.8,1,8,5.6,0,0,5.0,0.0,640,12
RPT-1073,2024-04-30 06:46:57.680773,Uptown,noise,3.8,0,0,5.5,0,0,3.7,4.67,383,6
RPT-1074,2023-04-03 07:18:29.907227,Downtown,lighting,13.6,0,2,7.2,0,0,4.3,3.18,600,7
RPT-1075,2023-04-13 08:42:27.104395,Old Town,vandalism,28.7,0,1,7.1,0,0,4.7,2.36,552,8
RPT-1076,2023-10-28 19:35:31.057780,Tech District,vandalism,37.6,1,3,10.0,1,0,3.3,5.6,966,19
RPT-1077,2023-07-14 12:42:22.792211,Old Town,pothole,41.3,0,2,7.5,0,1,4.0,4.66,489,12
RPT-1078,2024-02-28 17:32:29.621341,Tech District,noise,5.7,0,0,5.2,0,0,4.3,4.14,372,17
RPT-1079,2023-06-18 18:02:01.673114,Downtown,noise,6.3,1,5,4.4,1,1,2.8,6.02,572,18
RPT-1080,2024-09-28 21:24:13.477499,Tech District,lighting,11.0,0,12,6.2,1,0,5.0,2.11,474,21
RPT-1081,2024-10-24 00:16:34.087697,Riverside,vandalism,34.3,1,4,8.8,0,1,2.5,0.0,978,0
RPT-1082,2024-05-12 13:43:36.897177,Old Town,noise,7.0,0,1,3.9,1,0,5.0,3.26,317,13
RPT-1083,2024-10-08 01:58:22.946599,Riverside,vandalism,38.2,1,3,10.0,0,1,4.6,6.19,974,1
RPT-1084,2023-12-20 18:10:42.339853,Old Town,pothole,45.0,0,2,5.8,0,0,5.0,4.05,434,18
RPT-1085,2023-08-07 15:41:53.282506,Riverside,noise,4.6,0,2,2.5,0,1,2.9,4.65,203,15
RPT-1086,2024-02-29 23:33:35.332905,Tech District,noise,1.1,0,2,2.1,0,0,3.3,2.7,167,23
RPT-1087,2023-09-04 09:01:38.651701,Tech District,lighting,8.0,0,3,3.5,0,0,4.6,1.4,271,9
RPT-1088,2024-06-12 21:36:15.500828,Tech District,noise,7.5,1,1,6.2,0,1,2.9,4.35,690,21
RPT-1089,2024-05-08 21:39:32.244138,Old Town,noise,8.0,1,6,9.9,0,0,2.6,5.78,859,21
RPT-1090,2024-02-15 19:31:50.079768,Uptown,vandalism,17.8,0,1,6.1,0,0,4.4,2.49,480,19
RPT-1091,2024-05-23 10:26:15.234821,Riverside,vandalism,37.6,1,2,10.0,0,1,4.5,4.44,943,10
RPT-1092,2023-08-12 05:05:15.544728,Riverside,vandalism,22.4,0,2,8.7,1,1,4.9,1.12,707,5
RPT-1093,2024-09-03 11:16:17.559795,Downtown,vandalism,36.8,1,2,10.0,0,0,3.3,3.65,937,11
RPT-1094,2023-06-30 11:01:48.287158,Downtown,pothole,50.8,0,2,5.7,0,0,5.0,0.0,493,11
RPT-1095,2024-04-24 22:32:41.992100,Riverside,vandalism,19.8,0,2,8.3,0,0,4.1,1.91,683,22
RPT-1096,2024-07-09 22:27:45.826039,Tech District,pothole,47.9,0,3,7.7,0,0,4.4,0.0,548,22
RPT-1097,2023-06-01 05:57:19.471846,Downtown,lighting,14.2,0,1,5.0,0,0,4.5,1.92,361,5
RPT-1098,2024-01-05 09:38:16.980591,Riverside,vandalism,36.6,1,2,8.5,0,0,3.1,4.05,961,9
RPT-1099,2023-01-15 01:44:46.370710,Riverside,noise,9.7,0,1,3.8,1,0,4.8,3.77,185,1
RPT-1100,2024-02-17 21:11:05.997726,Tech District,pothole,47.0,0,2,7.3,1,1,3.5,0.3,535,21
RPT-1101,2023-09-24 21:19:39.439543,Uptown,lighting,15.2,0,4,5.9,1,0,3.0,2.99,439,21
RPT-1102,2024-02-20 22:20:50.575162,Old Town,pothole,42.9,0,1,7.5,0,0,4.3,2.33,698,22
RPT-1103,2023-09-30 20:52:25.879760,Uptown,pothole,47.9,0,9,6.7,1,0,4.6,0.82,582,20
RPT-1104,2023-11-14 22:51:23.811584,Uptown,lighting,6.7,0,0,6.7,0,0,4.1,4.24,544,22
RPT-1105,2023-08-06 18:42:42.873964,Riverside,lighting,8.0,0,6,2.7,1,1,4.2,4.64,222,18
RPT-1106,2024-05-19 13:20:54.033216,Uptown,lighting,13.3,0,5,4.7,1,1,3.1,4.0,323,13
RPT-1107,2023-01-18 08:56:06.918410,Tech District,noise,8.8,0,1,4.6,0,0,2.7,1.7,420,8
RPT-1108,2024-04-23 07:15:36.290117,Uptown,noise,7.6,0,15,4.4,0,1,4.3,5.13,326,7
RPT-1109,2024-07-27 13:09:27.901544,Downtown,vandalism,40.2,1,5,10.0,1,0,3.1,2.16,985,13
RPT-1110,2024-07-15 16:43:13.339069,Tech District,noise,3.5,1,1,4.6,0,0,3.5,3.47,645,16
RPT-1111,2023-04-15 21:37:24.753908,Uptown,vandalism,33.0,1,3,10.0,1,1,3.3,2.9,1000,21
RPT-1112,2023-07-17 09:50:19.909380,Tech District,noise,1.6,0,4,4.6,0,0,2.9,3.15,342,9
RPT-1113,2023-02-04 05:14:14.603216,Old Town,noise,3.2,0,2,6.1,1,0,3.7,1.34,511,5
RPT-1114,2024-05-14 13:12:05.560902,Riverside,noise,3.3,0,1,4.9,0,1,5.0,6.59,361,13
RPT-1115,2023-11-15 23:07:30.064156,Riverside,vandalism,34.8,1,12,7.4,0,0,2.5,4.77,744,23
RPT-1116,2024-06-09 08:03:18.156182,Uptown,pothole,69.5,1,2,9.0,1,1,3.5,5.38,1000,8
RPT-1117,2024-10-31 17:38:18.334085,Downtown,lighting,10.4,0,3,5.9,0,1,3.9,4.18,527,17
RPT-1118,2024-08-19 02:04:13.152018,Old Town,pothole,50.5,0,4,6.8,0,0,3.9,1.33,509,2
RPT-1119,2023-06-13 00:13:20.015259,Uptown,lighting,13.5,0,3,6.2,0,1,3.0,3.05,500,0
RPT-1120,2023-01-25 19:52:35.024050,Uptown,noise,7.3,0,2,2.0,0,0,4.4,6.15,155,19
RPT-1121,2023-06-30 01:47:09.107147,Old Town,lighting,12.8,0,2,5.3,0,0,4.5,2.63,403,1
RPT-1122,2024-05-18 08:49:20.836270,Riverside,lighting,10.9,0,13,5.3,1,0,3.8,3.75,502,8
RPT-1123,2023-01-03 04:23:42.055420,Riverside,noise,7.3,1,2,4.2,0,0,3.4,4.3,585,4
RPT-1124,2023-07-21 16:07:32.180546,Downtown,vandalism,27.4,0,2,10.0,0,0,4.7,2.8,892,16
RPT-1125,2024-10-21 13:11:54.283972,Uptown,lighting,8.8,0,1,4.9,0,0,4.4,2.52,409,13
