date,revenue,unique_users,leads,costs
2019-01-01,13798.778225972916,1270,36,3000.0
2019-01-02,13537.548303041514,1494,26,3000.0
2019-01-03,13984.391938201687,1388,28,3000.0
2019-01-04,14473.529463112372,1449,30,7274.8173826212915
2019-01-05,12893.998902753661,1360,32,7086.096362048082
2019-01-06,12940.65968879575,1317,26,7206.352431412776
2019-01-07,14641.57878954823,1559,40,6626.766802297988
2019-01-08,14277.528482976906,1456,49,7091.744930111543
2019-01-09,13698.512821239263,1308,32,6922.447831437478
2019-01-10,14241.577460416132,1460,28,7520.976252062686
2019-01-11,13773.25562362749,1262,34,7069.8198866679595
2019-01-12,13054.399992524442,1316,37,6994.216782678651
2019-01-13,13438.196185969735,1340,46,7149.165757173888
2019-01-14,13138.193924218984,1293,37,7438.463582310158
2019-01-15,13257.684560394417,1312,45,6802.692046776405
2019-01-16,13862.023739729764,1198,40,7656.25695242386
2019-01-17,13657.517237193593,1310,34,7070.716902970206
2019-01-18,14339.59214891584,1443,36,6594.600570119605
2019-01-19,12994.794061030863,1315,43,7120.043233943342
2019-01-20,12756.827695340899,1172,47,6901.752634511154
2019-01-21,14957.849417318683,1622,39,6643.562903728745
2019-01-22,14122.092870489525,1325,47,7378.279500343395
2019-01-23,14276.652267931682,1524,38,7037.99107126827
2019-01-24,13536.415164073262,1396,35,7647.317020565398
2019-01-25,13980.537793609248,1333,35,7286.248959236768
2019-01-26,13560.216021926668,1533,37,6868.390409771773
2019-01-27,12929.417984684953,1173,48,6915.839407355347
2019-01-28,14441.108973808297,1536,43,7446.695570517978
2019-01-29,13949.52342065204,1495,36,6752.69879764325
2019-01-30,14098.87048711709,1342,35,6119.294600530241
2019-01-31,13937.086278193528,1532,34,7264.20088980821
2019-02-01,15155.705922064553,1490,39,7142.32975998735
2019-02-02,13462.90937064834,1375,39,7270.33017105954
2019-02-03,12929.417869824745,1318,35,7399.681476512419
2019-02-04,14606.746953115435,1447,53,7737.993520288728
2019-02-05,13570.902498447034,1438,40,7116.503752767679
2019-02-06,14270.318616149285,1506,40,7237.484777373436
